PPG,Type_1
0,0.190846
0,0.214993
0,0.243363
0,0.275123
0,0.309326
0,0.344970
0,0.381064
0,0.416680
0,0.451004
0,0.483370
0,0.513287
0,0.540442
0,0.564703
0,0.586102
0,0.604809
0,0.621107
0,0.635353
0,0.647944
0,0.659281
0,0.669736
0,0.679624
0,0.689179
0,0.698543
0,0.707759
0,0.716773
0,0.725450
0,0.733591
0,0.740956
0,0.747299
0,0.752385
0,0.756025
0,0.758090
0,0.758523
0,0.757345
0,0.754648
0,0.750587
0,0.745355
0,0.739171
0,0.732252
0,0.724798
0,0.716974
0,0.708900
0,0.700648
0,0.692241
0,0.683661
0,0.674861
0,0.665779
0,0.656359
0,0.646559
0,0.636375
0,0.625843
0,0.615048
0,0.604116
0,0.593206
0,0.582494
0,0.572149
0,0.562311
0,0.553070
0,0.544438
0,0.536342
0,0.528613
0,0.520988
0,0.513121
0,0.504609
0,0.495016
0,0.483907
0,0.470891
0,0.455649
0,0.437970
0,0.417779
0,0.395153
0,0.370332
0,0.343726
0,0.315900
0,0.287570
0,0.259573
0,0.232842
0,0.208369
0,0.187162
0,0.170195
0,0.158353
0,0.152378
0,0.152815
0,0.159961
0,0.173833
0,0.194149
0,0.220333
0,0.251537
0,0.286697
0,0.324590
0,0.363922
0,0.403405
0,0.441843
0,0.478199
0,0.511655
0,0.541648
0,0.567880
0,0.590316
0,0.609156
0,0.624793
0,0.637757
0,0.648658
0,0.658126
0,0.666750
0,0.675039
0,0.683376
0,0.692003
0,0.701008
0,0.710333
0,0.719788
0,0.729082
0,0.737857
0,0.745724
0,0.752306
0,0.757271
0,0.760361
0,0.761416
0,0.760380
0,0.757304
0,0.752334
0,0.745691
0,0.737650
0,0.728512
0,0.718576
0,0.708121
0,0.697385
0,0.686558
0,0.675779
0,0.665135
0,0.654667
0,0.644379
0,0.634244
0,0.624209
0,0.614207
0,0.604157
0,0.593974
0,0.583578
0,0.572898
0,0.561879
0,0.550494
0,0.538743
0,0.526655
0,0.514287
0,0.501715
0,0.489021
0,0.476281
0,0.463543
0,0.450816
0,0.438053
0,0.425143
0,0.411912
0,0.398132
0,0.383542
0,0.367873
0,0.350889
0,0.332425
0,0.312430
0,0.291010
0,0.268452
0,0.245249
0,0.222093
0,0.199864
0,0.179584
0,0.162361
0,0.149309
0,0.141468
0,0.139713
0,0.144676
0,0.156682
0,0.175701
0,0.201340
0,0.232852
0,0.269182
0,0.309038
0,0.350978
0,0.393511
0,0.435197
0,0.474748
0,0.511101
0,0.543475
0,0.571407
0,0.594747
0,0.613643
0,0.628491
0,0.639875
0,0.648501
0,0.655121
0,0.660469
0,0.665208
0,0.669879
0,0.674884
0,0.680465
0,0.686713
0,0.693585
0,0.700919
0,0.708473
0,0.715954
0,0.723046
0,0.729446
0,0.734878
0,0.739120
0,0.742008
0,0.743447
0,0.743401
0,0.741895
0,0.738998
0,0.734810
0,0.729447
0,0.723026
0,0.715654
0,0.707414
0,0.698361
0,0.688527
0,0.677917
0,0.666526
0,0.654347
0,0.641389
0,0.627685
0,0.613307
0,0.598369
0,0.583027
0,0.567471
0,0.551911
0,0.536561
0,0.521613
0,0.507221
0,0.493477
0,0.480408
0,0.467958
0,0.456001
0,0.444337
0,0.432715
0,0.420847
0,0.408428
0,0.395161
0,0.380781
0,0.365078
0,0.347923
0,0.329283
0,0.309247
0,0.288030
0,0.265989
0,0.243613
0,0.221522
0,0.200443
0,0.181185
0,0.164600
0,0.151541
0,0.142811
0,0.139110
0,0.140989
0,0.148798
0,0.162657
0,0.182431
0,0.207724
0,0.237896
0,0.272092
0,0.309292
0,0.348374
0,0.388179
0,0.427588
0,0.465581
0,0.501293
0,0.534057
0,0.563421
0,0.589157
0,0.611246
0,0.629858
0,0.645309
0,0.658029
0,0.668513
0,0.677279
0,0.684829
0,0.691615
0,0.698014
0,0.704302
0,0.710650
0,0.717119
0,0.723668
0,0.730169
0,0.736428
0,0.742208
0,0.747261
0,0.751346
0,0.754254
0,0.755827
0,0.755965
0,0.754631
0,0.751851
0,0.747711
0,0.742344
0,0.735926
0,0.728657
0,0.720751
0,0.712426
0,0.703880
0,0.695289
0,0.686789
0,0.678471
0,0.670382
0,0.662522
0,0.654855
0,0.647322
0,0.639848
0,0.632360
0,0.624798
0,0.617118
0,0.609294
0,0.601315
0,0.593177
0,0.584866
0,0.576349
0,0.567555
0,0.558367
0,0.548611
0,0.538054
0,0.526413
0,0.513361
0,0.498555
0,0.481662
0,0.462398
0,0.440564
0,0.416087
0,0.389056
0,0.359751
0,0.328660
0,0.296480
0,0.264102
0,0.232587
0,0.203111
0,0.176916
0,0.155232
0,0.139205
0,0.129821
0,0.127836
0,0.133715
0,0.147587
0,0.169228
0,0.198062
0,0.233194
0,0.273456
0,0.317489
0,0.363817
0,0.410938
0,0.457410
0,0.501921
0,0.543350
0,0.580808
0,0.613657
0,0.641525
0,0.664287
0,0.682054
0,0.695138
0,0.704021
0,0.709314
0,0.711714
0,0.711961
0,0.710797
0,0.708921
0,0.706957
0,0.705418
0,0.704681
0,0.704973
0,0.706365
0,0.708774
0,0.711978
0,0.715644
0,0.719361
0,0.722681
0,0.725159
0,0.726396
0,0.726070
0,0.723966
0,0.719982
0,0.714131
0,0.706531
0,0.697378
0,0.686920
0,0.675428
0,0.663169
0,0.650383
0,0.637269
0,0.623978
0,0.610610
0,0.597225
0,0.583845
0,0.570471
0,0.557094
0,0.543701
0,0.530284
0,0.516844
0,0.503393
0,0.489948
0,0.476531
0,0.463160
0,0.449847
0,0.436590
0,0.423363
0,0.410113
0,0.396751
0,0.383154
0,0.369162
0,0.354594
0,0.339266
0,0.323013
0,0.305726
0,0.287382
0,0.268076
0,0.248046
0,0.227692
0,0.207574
0,0.188402
0,0.171011
0,0.156315
0,0.145252
0,0.138718
0,0.137497
0,0.142198
0,0.153193
0,0.170577
0,0.194150
0,0.223414
0,0.257599
0,0.295713
0,0.336607
0,0.379043
0,0.421781
0,0.463649
0,0.503613
0,0.540821
0,0.574644
0,0.604682
0,0.630765
0,0.652930
0,0.671391
0,0.686499
0,0.698697
0,0.708476
0,0.716335
0,0.722739
0,0.728094
0,0.732723
0,0.736855
0,0.740624
0,0.744074
0,0.747174
0,0.749837
0,0.751939
0,0.753341
0,0.753910
0,0.753530
0,0.752118
0,0.749625
0,0.746042
0,0.741395
0,0.735740
0,0.729157
0,0.721744
0,0.713606
0,0.704850
0,0.695576
0,0.685876
0,0.675823
0,0.665471
0,0.654853
0,0.643979
0,0.632839
0,0.621408
0,0.609652
0,0.597533
0,0.585024
0,0.572109
0,0.558798
0,0.545126
0,0.531155
0,0.516972
0,0.502681
0,0.488390
0,0.474199
0,0.460186
0,0.446393
0,0.432813
0,0.419386
0,0.405995
0,0.392477
0,0.378629
0,0.364232
0,0.349072
0,0.332972
0,0.315814
0,0.297576
0,0.278351
0,0.258366
0,0.237998
0,0.217768
0,0.198335
0,0.180472
0,0.165024
0,0.152867
0,0.144848
0,0.141724
0,0.144102
0,0.152380
0,0.166708
0,0.186959
0,0.212722
0,0.243316
0,0.277828
0,0.315169
0,0.354139
0,0.393504
0,0.432072
0,0.468759
0,0.502652
0,0.533053
0,0.559506
0,0.581811
0,0.600018
0,0.614405
0,0.625451
0,0.633782
0,0.640121
0,0.645229
0,0.649839
0,0.654603
0,0.660046
0,0.666530
0,0.674243
0,0.683198
0,0.693251
0,0.704131
0,0.715474
0,0.726865
0,0.737867
0,0.748064
0,0.757078
0,0.764594
0,0.770370
0,0.774244
0,0.776129
0,0.776013
0,0.773944
0,0.770024
0,0.764396
0,0.757232
0,0.748726
0,0.739083
0,0.728514
0,0.717230
0,0.705439
0,0.693336
0,0.681098
0,0.668880
0,0.656803
0,0.644944
0,0.633333
0,0.621945
0,0.610694
0,0.599445
0,0.588014
0,0.576184
0,0.563714
0,0.550359
0,0.535877
0,0.520047
0,0.502672
0,0.483595
0,0.462714
0,0.439990
0,0.415474
0,0.389324
0,0.361833
0,0.333442
0,0.304757
0,0.276551
0,0.249745
0,0.225381
0,0.204570
0,0.188428
0,0.177995
0,0.174158
0,0.177570
0,0.188585
0,0.207214
0,0.233103
0,0.265541
0,0.303498
0,0.345682
0,0.390622
0,0.436759
0,0.482546
0,0.526535
0,0.567471
0,0.604349
0,0.636463
0,0.663432
0,0.685194
0,0.701984
0,0.714288
0,0.722785
0,0.728273
0,0.731603
0,0.733601
0,0.735007
0,0.736426
0,0.738294
0,0.740860
0,0.744187
0,0.748171
0,0.752570
0,0.757041
0,0.761190
0,0.764610
0,0.766923
0,0.767813
0,0.767048
0,0.764490
0,0.760097
0,0.753913
0,0.746054
0,0.736689
0,0.726020
0,0.714266
0,0.701645
0,0.688367
0,0.674621
0,0.660576
0,0.646456
0,0.632449
0,0.618602
0,0.604943
0,0.591483
0,0.578142
0,0.564839
0,0.551607
0,0.538471
0,0.525449
0,0.512558
0,0.499812
0,0.487218
0,0.474781
0,0.462497
0,0.450352
0,0.438318
0,0.426353
0,0.414392
0,0.402351
0,0.390123
0,0.377579
0,0.364571
0,0.350947
0,0.336555
0,0.321262
0,0.304977
0,0.287665
0,0.269370
0,0.250234
0,0.230511
0,0.210570
0,0.190900
0,0.172094
0,0.154834
0,0.139852
0,0.127899
0,0.119694
0,0.115882
0,0.116990
0,0.123389
0,0.135271
0,0.152630
0,0.175265
0,0.202783
0,0.234623
0,0.270079
0,0.308331
0,0.348477
0,0.389563
0,0.430615
0,0.470671
0,0.508809
0,0.544182
0,0.576048
0,0.603803
0,0.627008
0,0.645411
0,0.658958
0,0.667781
0,0.672176
0,0.672567
0,0.669443
0,0.663309
0,0.654616
0,0.643719
0,0.630838
0,0.616036
0,0.599235
0,0.580233
0,0.558765
0,0.534561
0,0.507422
0,0.477303
0,0.444380
0,0.409110
0,0.372270
0,0.334963
0,0.298604
0,0.264862
0,0.235587
0,0.212695
0,0.198040
0,0.193273
0,0.199699
0,0.218144
0,0.248849
0,0.291402
0,0.344721
0,0.407089
0,0.476250
0,0.549554
0,0.624137
0,0.697126
0,0.765833
0,0.827934
0,0.881598
0,0.925575
0,0.959218
0,0.982463
0,0.995766
0,1.000000
0,0.996340
0,0.986142
0,0.970818
0,0.951732
0,0.930105
0,0.906951
0,0.883384
0,0.860138
0,0.837360
0,0.814968
0,0.792689
0,0.769780
0,0.745559
0,0.719690
0,0.691942
0,0.662247
0,0.630752
0,0.597848
0,0.564172
0,0.530585
0,0.498124
0,0.467933
0,0.441182
0,0.418987
0,0.402326
0,0.391981
0,0.388491
0,0.392125
0,0.402877
0,0.420463
0,0.444339
0,0.473716
0,0.507584
0,0.544745
0,0.583856
0,0.623478
0,0.662139
0,0.698401
0,0.730921
0,0.758514
0,0.780197
0,0.795223
0,0.803089
0,0.803535
0,0.796521
0,0.782203
0,0.760894
0,0.733036
0,0.699169
0,0.659915
0,0.615956
0,0.568035
0,0.516945
0,0.463535
0,0.408701
0,0.353391
0,0.298593
0,0.245337
0,0.194682
0,0.147705
0,0.105484
0,0.069077
0,0.039487
0,0.017627
0,0.004270
0,0.000000
0,0.005161
0,0.019811
0,0.043686
0,0.076182
0,0.116363
0,0.162983
0,0.214542
0,0.269359
0,0.325659
0,0.381678
0,0.435757
0,0.486437
0,0.532534
0,0.573193
0,0.607911
0,0.636534
0,0.659222
0,0.676394
0,0.688652
0,0.696690
0,0.701207
0,0.702824
0,0.702002
0,0.698999
0,0.693831
0,0.686273
0,0.675889
0,0.662083
0,0.644181
0,0.621527
0,0.593585
0,0.560043
0,0.520895
0,0.476503
0,0.427629
0,0.375425
0,0.321396
0,0.267332
0,0.215212
0,0.167102
0,0.125043
0,0.090939
0,0.066454
